processed
-2992.0 1184.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2832.0 1184.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2992.0 2112.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2832.0 2112.0 0.00000 1.00000 1.00000 0.37500 0.37500
-2832.0 1296.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2704.0 1296.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2832.0 2192.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2704.0 2192.0 0.00000 1.00000 1.00000 0.37500 0.37500
-2704.0 1360.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2240.0 1360.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2704.0 2224.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2240.0 2224.0 0.00000 1.00000 1.00000 0.39062 0.39062
-2240.0 1440.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2000.0 1440.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2240.0 2224.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2000.0 2224.0 0.00000 1.00000 1.00000 0.39062 0.39062
-2064.0 1312.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2000.0 1312.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2064.0 1440.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2000.0 1440.0 0.00000 1.00000 1.00000 0.37500 0.37500
-2000.0 1392.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1712.0 1392.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2000.0 1792.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1712.0 1792.0 0.00000 1.00000 1.00000 0.39062 0.39062
-2000.0 1792.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1760.0 1792.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2000.0 2016.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1760.0 2016.0 0.00000 1.00000 1.00000 0.39062 0.39062
-2000.0 2016.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1856.0 2016.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2000.0 2176.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1856.0 2176.0 0.00000 1.00000 1.00000 0.39062 0.39062
-2000.0 2176.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1920.0 2176.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2000.0 2224.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1920.0 2224.0 0.00000 1.00000 1.00000 0.39062 0.39062
-2208.0 2224.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2000.0 2224.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2208.0 2432.0 0.00000 1.00000 1.00000 0.32812 0.32812    -2000.0 2432.0 0.00000 1.00000 1.00000 0.39062 0.39062
-2208.0 2432.0 0.00000 1.00000 1.00000 0.32812 0.32812    -2000.0 2432.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2208.0 2560.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2000.0 2560.0 0.00000 1.00000 1.00000 0.39062 0.39062
-2352.0 2448.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2208.0 2448.0 0.00000 1.00000 1.00000 0.32812 0.32812    -2352.0 2560.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2208.0 2560.0 0.00000 1.00000 1.00000 0.39062 0.39062
-2304.0 2352.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2208.0 2352.0 0.00000 1.00000 1.00000 0.34375 0.34375    -2304.0 2448.0 0.00000 1.00000 1.00000 0.35938 0.35938    -2208.0 2448.0 0.00000 1.00000 1.00000 0.32812 0.32812
-1712.0 1360.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1600.0 1360.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1712.0 1792.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1600.0 1792.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1664.0 1280.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1600.0 1280.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1664.0 1360.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1600.0 1360.0 0.00000 1.00000 1.00000 0.37500 0.37500
-1600.0 1280.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1440.0 1280.0 0.00000 1.00000 1.00000 0.35938 0.35938    -1600.0 1696.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1440.0 1696.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1600.0 1696.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1536.0 1696.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1600.0 1728.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1536.0 1728.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1440.0 1440.0 0.00000 1.00000 1.00000 0.35938 0.35938    -1232.0 1440.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1440.0 1680.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1232.0 1680.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1232.0 1440.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1136.0 1440.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1232.0 1616.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1136.0 1616.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1440.0 1280.0 0.00000 1.00000 1.00000 0.35938 0.35938    -1136.0 1280.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1440.0 1440.0 0.00000 1.00000 1.00000 0.35938 0.35938    -1136.0 1440.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1136.0 1248.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1104.0 1248.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1136.0 1424.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1104.0 1424.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1520.0 1104.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1104.0 1104.0 0.00000 1.00000 1.00000 0.35938 0.35938    -1520.0 1248.0 0.00000 1.00000 1.00000 0.35938 0.35938    -1104.0 1248.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1520.0 1248.0 0.00000 1.00000 1.00000 0.35938 0.35938    -1136.0 1248.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1520.0 1280.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1136.0 1280.0 0.00000 1.00000 1.00000 0.37500 0.37500
-1600.0 1200.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1520.0 1200.0 0.00000 1.00000 1.00000 0.35938 0.35938    -1600.0 1280.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1520.0 1280.0 0.00000 1.00000 1.00000 0.37500 0.37500
-1104.0 944.0 0.00000 1.00000 1.00000 0.37500 0.37500    -960.0 944.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1104.0 1136.0 0.00000 1.00000 1.00000 0.35938 0.35938    -960.0 1136.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1424.0 944.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1104.0 944.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1424.0 1104.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1104.0 1104.0 0.00000 1.00000 1.00000 0.35938 0.35938
-1520.0 1008.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1424.0 1008.0 0.00000 1.00000 1.00000 0.37500 0.37500    -1520.0 1104.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1424.0 1104.0 0.00000 1.00000 1.00000 0.37500 0.37500
-1424.0 784.0 0.00000 1.00000 1.00000 0.37500 0.37500    -896.0 784.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1424.0 944.0 0.00000 1.00000 1.00000 0.39062 0.39062    -896.0 944.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1488.0 560.0 0.00000 0.99164 0.99164 0.37500 0.37500    -896.0 560.0 0.00000 0.94664 0.94664 0.31250 0.31250    -1488.0 784.0 0.00000 1.00000 1.00000 0.39062 0.39062    -896.0 784.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1536.0 560.0 0.00000 0.99515 0.99515 0.37500 0.37500    -1488.0 560.0 0.00000 0.99164 0.99164 0.37500 0.37500    -1536.0 672.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1488.0 672.0 0.00000 0.99582 0.99582 0.37500 0.37500
-896.0 208.0 0.00000 0.86049 0.86049 0.25000 0.25000    -768.0 208.0 0.00000 0.98450 0.98450 0.35938 0.35938    -896.0 720.0 0.00000 0.98475 0.98475 0.35938 0.35938    -768.0 720.0 0.00000 1.00000 1.00000 0.39062 0.39062
-1600.0 208.0 0.00000 0.10204 0.10204 0.01562 0.01562    -896.0 208.0 0.00000 0.86049 0.86049 0.25000 0.25000    -1600.0 560.0 0.00000 1.00000 1.00000 0.39062 0.39062    -896.0 560.0 0.00000 0.94664 0.94664 0.31250 0.31250
-992.0 -144.0 0.00000 1.00000 1.00000 0.39062 0.39062    -912.0 -144.0 0.00000 1.00000 1.00000 0.39062 0.39062    -992.0 208.0 0.00000 0.75707 0.75707 0.20312 0.20312    -912.0 208.0 0.00000 0.84326 0.84326 0.23438 0.23438
-1744.0 -816.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1184.0 -816.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1744.0 -592.0 0.00000 0.06505 0.06505 0.00000 0.00000    -1184.0 -592.0 0.00000 0.82604 0.82604 0.31250 0.31250
-1456.0 -592.0 0.00000 0.45642 0.45642 0.15625 0.15625    -1056.0 -592.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1456.0 -432.0 0.00000 1.00000 1.00000 0.39062 0.39062    -1056.0 -432.0 0.00000 0.13793 0.13793 0.03125 0.03125
-3000.0 -1184.0 0.00000 1.00000 0.00000 0.00000 0.00000    -2880.0 -1184.0 0.00000 1.00000 1.00000 0.39062 0.39062    -3000.0 -816.0 0.00000 1.00000 0.00000 0.00000 0.00000    -2880.0 -816.0 0.00000 1.00000 1.00000 0.39062 0.39062
-2880.0 -1168.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2768.0 -1168.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2880.0 -896.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2768.0 -896.0 0.00000 1.00000 1.00000 0.37500 0.37500
-2768.0 -1088.0 0.00000 1.00000 1.00000 0.37500 0.37500    -2656.0 -1088.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2768.0 -848.0 0.00000 1.00000 1.00000 0.39062 0.39062    -2656.0 -848.0 0.00000 1.00000 1.00000 0.37500 0.37500
